Country,Continent,Population,Urban Population,Land Size,Poupulation Density,Yearly GNP
Afghanistan,Asia,38928346,0.25,652860,59.63,"$19,148,650,193 "
Albania,Europe,2877797,0.63,27400,105.03,"$13,936,110,159 "
Algeria,Africa,43851044,0.73,2381740,18.41,"$168,243,973,607 "
Angola,Africa,32866272,0.67,1246700,26.36,"$98,895,545,962 "
Argentina,South America,45195774,0.93,2736690,16.51,"$550,426,447,811 "
Armenia,Asia,2963243,0.63,28470,104.08,"$12,539,458,317 "
Aruba,North America,106766,0.44,180,593.14,$0 
Australia,Oceania,25499884,0.86,7682300,3.32,"$1,328,936,835,420 "
Austria,Europe,9006398,0.57,82409,109.29,"$433,891,640,509 "
Azerbaijan,Europe,10139177,0.56,82658,122.66,"$40,401,421,784 "
Bahamas,North America,393244,0.86,10010,39.29,"$12,335,438,421 "
Bahrain,Asia,1701575,0.89,760,2238.91,"$34,393,630,981 "
Bangladesh,Asia,164689383,0.39,130170,1265.19,"$282,036,367,903 "
Barbados,North America,287375,0.31,430,668.31,"$4,787,753,385 "
Belarus,Europe,9449323,0.79,202910,46.57,"$54,079,877,293 "
Belgium,Europe,11589623,0.98,30280,382.75,"$526,820,367,413 "
Belize,North America,397628,0.46,22810,17.43,"$1,704,443,627 "
Benin,Africa,12123200,0.48,112760,107.51,"$13,735,899,664 "
Bermuda,North America,62278,0.97,50,1245.56,"$7,478,205,654 "
Bhutan,Asia,771608,0.46,38117,20.24,"$2,239,947,743 "
Bolivia,South America,11673021,0.69,1083300,10.78,"$38,242,657,845 "
Bosnia,Europe,3280819,0.52,51000,64.33,"$19,167,738,271 "
Botswana,Africa,2351627,0.73,566730,4.15,"$16,551,586,800 "
Brazil,South America,212559417,0.88,8358140,25.43,"$1,902,286,218,698 "
Brunei,Asia,437479,0.8,5270,83.01,"$12,605,129,537 "
Bulgaria,Europe,6948445,0.76,108560,64.01,"$60,122,091,896 "
Burkina Faso,Africa,20903273,0.31,273600,76.4,"$14,738,547,605 "
Burundi,Africa,11890784,0.14,25680,463.04,"$3,136,470,012 "
Cambodia,Asia,16718965,0.24,176520,94.71,"$22,460,314,785 "
Cameroon,Africa,26545863,0.56,472710,56.16,"$36,476,494,287 "
Canada,North America,37742154,0.81,9093510,4.15,"$1,667,638,046,649 "
Cayman Islands,North America,65722,0.97,240,273.84,$0 
Central African Republic,Africa,4829767,0.43,622980,7.75,"$2,299,192,905 "
Chad,Africa,16425864,0.23,1259200,13.04,"$10,458,838,543 "
Chile,South America,19116201,0.85,743532,25.71,"$273,786,950,070 "
China,Asia,1439323776,0.61,9388211,153.31,"$13,371,980,315,793 "
Colombia,South America,50882891,0.8,1109500,45.86,"$310,848,422,170 "
Comoros,Africa,869601,0.29,1861,467.28,"$1,146,782,047 "
Costa Rica,North America,5094118,0.8,51060,99.77,"$57,957,290,541 "
Croatia,Europe,4105267,0.58,55960,73.36,"$57,537,516,766 "
Cuba,North America,11326616,0.78,106440,106.41,$0 
Cyprus,Europe,1207359,0.67,9240,130.67,"$23,487,262,005 "
Czech Republic,Europe,10708981,0.74,77240,138.65,"$218,118,334,668 "
Denmark,Europe,5792202,0.88,42430,136.51,"$353,552,862,669 "
Djibouti,Africa,988000,0.79,23180,42.62,"$3,129,823,309 "
Dominica,North America,71986,0.74,750,95.98,"$552,110,754 "
Dominican Republic,North America,10847910,0.85,48320,224.5,"$82,507,225,670 "
Ecuador,South America,17643054,0.63,248360,71.04,"$104,127,263,313 "
Egypt,Africa,102334404,0.43,995450,102.8,"$274,939,894,090 "
El Salvador,North America,6486205,0.73,20720,313.04,"$24,542,247,735 "
Equatorial Guinea,Africa,1402985,0.73,28050,50.02,"$8,710,458,125 "
Estonia,Europe,1326535,0.68,42390,31.29,"$28,209,044,341 "
Ethiopia,Africa,114963588,0.21,1000000,114.96,"$86,862,198,769 "
Fiji,Oceania,896445,0.59,18270,49.07,"$5,219,745,654 "
Finland,Europe,5540720,0.86,303890,18.23,"$266,313,261,313 "
France,Europe,65273511,0.82,547557,119.21,"$2,758,940,620,597 "
Gabon,Africa,2225734,0.87,257670,8.64,"$14,482,367,969 "
Gambia,Africa,2416668,0.59,10120,238.8,"$1,642,760,970 "
Georgia,Europe,3989167,0.58,69490,57.41,"$16,632,242,354 "
Germany,Europe,83783942,0.76,348560,240.37,"$3,900,831,288,897 "
Ghana,Africa,31072940,0.57,227540,136.56,"$63,356,680,408 "
Greece,Europe,10423054,0.85,128900,80.86,"$203,562,866,437 "
Grenada,North America,112523,0.35,340,330.95,"$1,067,758,148 "
Guatemala,North America,17915568,0.52,107160,167.19,"$71,784,895,693 "
Guinea,Africa,13132795,0.39,245720,53.45,"$10,586,870,707 "
Guinea-Bissau,Africa,1968001,0.45,28120,69.99,"$1,398,073,894 "
Guyana,South America,786552,0.27,196850,4,"$4,899,597,823 "
Haiti,North America,11402528,0.57,27560,413.73,"$15,101,681,744 "
Honduras,North America,9904607,0.57,111890,88.52,"$22,272,051,988 "
Hong Kong,Asia,7496981,1,1050,7139.98,"$373,000,015,790 "
Hungary,Europe,9660351,0.72,90530,106.71,"$146,839,613,661 "
Iceland,Europe,341243,0.94,100250,3.4,"$23,946,754,425 "
India,Asia,1380004385,0.35,2973190,464.15,"$2,713,849,397,679 "
Indonesia,Asia,273523615,0.56,1811570,150.99,"$1,029,238,956,428 "
Iran,Asia,83992949,0.76,1628550,51.58,"$433,734,190,602 "
Iraq,Asia,40222493,0.73,434320,92.61,"$194,564,971,881 "
Ireland,Europe,4937786,0.63,68890,71.68,"$290,288,575,801 "
Israel,Asia,8655535,0.93,21640,399.98,"$362,971,558,162 "
Italy,Europe,60461826,0.69,294140,205.55,"$2,044,562,148,878 "
Jamaica,North America,2961167,0.55,10830,273.42,"$14,695,885,456 "
Japan,Asia,126476461,0.92,364555,346.93,"$5,206,950,777,523 "
Jordan,Asia,10203134,0.91,88780,114.93,"$42,553,417,230 "
Kazakhstan,Asia,18776707,0.58,2699700,6.96,"$147,576,701,727 "
Kenya,Africa,53771296,0.28,569140,94.48,"$82,388,772,046 "
Kiribati,Oceania,119449,0.57,810,147.47,"$356,872,843 "
Kuwait,Asia,4270571,1,17820,239.65,"$138,985,371,644 "
Latvia,Europe,1886198,0.69,62200,30.32,"$31,868,533,671 "
Lebanon,Asia,6825445,0.78,10230,667.2,"$52,892,230,645 "
Lesotho,Africa,2142249,0.31,30360,70.56,"$2,706,407,035 "
Liberia,Africa,5057681,0.53,96320,52.51,"$2,919,787,065 "
Libya,Africa,6871292,0.78,1759540,3.91,"$45,416,011,389 "
Lithuania,Europe,2722289,0.71,62674,43.44,"$48,913,745,126 "
Luxembourg,Europe,625978,0.88,2590,241.69,"$43,110,834,248 "
Macao,Asia,649335,1,30,21644.5,"$49,673,360,579 "
Madagascar,Africa,27691018,0.39,581795,47.6,"$13,205,955,362 "
Malawi,Africa,19129952,0.18,94280,202.91,"$6,313,453,725 "
Malaysia,Asia,32365999,0.78,328550,98.51,"$335,635,478,084 "
Maldives,Asia,540544,0.35,300,1801.81,"$4,750,450,104 "
Mali,Africa,20250833,0.44,1220190,16.6,"$15,906,294,682 "
Malta,Europe,441543,0.93,320,1379.82,"$13,037,466,919 "
Marshall Islands,Oceania,59190,0.7,180,328.83,"$283,728,183 "
Mauritania,Africa,4649658,0.57,1030700,4.51,"$6,952,947,688 "
Mauritius,Africa,1271768,0.41,2030,626.49,"$15,529,554,047 "
Mexico,North America,128932753,0.84,1943950,66.33,"$1,159,034,989,291 "
Micronesia,Oceania,548914,0.68,700,784.16,"$383,187,150 "
Moldova,Europe,4033963,0.43,32850,122.8,"$10,622,874,749 "
Mongolia,Asia,3278290,0.67,1553560,2.11,"$11,508,248,881 "
Montenegro,Europe,628066,0.68,13450,46.7,"$5,248,436,368 "
Morocco,Africa,36910560,0.64,446300,82.7,"$113,258,047,753 "
Mozambique,Africa,31255435,0.38,786380,39.75,"$13,629,520,200 "
Myanmar,Asia,54409800,0.31,653290,83.29,"$73,609,434,597 "
Namibia,Africa,2540905,0.55,823290,3.09,"$11,991,437,017 "
Nauru,Oceania,10824,1,20,541.2,"$152,915,236 "
Nepal,Asia,29136808,0.21,143350,203.26,"$27,246,977,926 "
Netherlands,Europe,17134872,0.92,33720,508.15,"$883,981,855,481 "
New Zealand,Oceania,4822233,0.87,263310,18.31,"$203,853,997,023 "
Nicaragua,North America,6624554,0.57,120340,55.05,"$12,717,824,335 "
Niger,Africa,24206644,0.17,1266700,19.11,"$12,841,056,425 "
Nigeria,Africa,206139589,0.52,910770,226.34,"$384,737,460,610 "
Norway,Europe,5421241,0.83,365268,14.84,"$428,372,241,498 "
Oman,Asia,5106626,0.87,309500,16.5,"$68,549,069,918 "
Pakistan,Asia,220892340,0.35,770880,286.55,"$314,469,342,298 "
Palau,Oceania,18094,0.8,460,39.33,"$318,977,083 "
Panama,South America,4314767,0.68,74340,58.04,"$60,241,265,028 "
Papua New Guinea,Oceania,8947024,0.13,452860,19.76,"$22,394,744,907 "
Paraguay,South America,7132538,0.62,397300,17.95,"$39,086,003,833 "
Peru,South America,32971854,0.79,1280000,25.76,"$207,101,732,427 "
Philippines,Asia,109581078,0.47,298170,367.51,"$395,267,674,168 "
Poland,Europe,37846611,0.6,306230,123.59,"$537,383,402,575 "
Portugal,Europe,10196709,0.66,91590,111.33,"$226,791,052,314 "
Puerto Rico,North America,2860853,0.94,8870,322.53,"$67,148,767,041 "
Qatar,Asia,2881053,0.96,11610,248.15,"$163,645,577,523 "
Romania,Europe,19237691,0.55,230170,83.58,"$222,576,467,790 "
Russia,Asia,145934462,0.74,16376870,8.91,"$1,506,136,905,122 "
Rwanda,Africa,12952218,0.18,24670,525.02,"$9,619,641,053 "
Samoa,Oceania,198414,0.18,2830,70.11,"$789,397,326 "
Saudi Arabia,Asia,34813871,0.84,2149690,16.19,"$728,347,794,354 "
Senegal,Africa,16743927,0.49,192530,86.97,"$22,128,427,821 "
Serbia,Europe,8737371,0.56,87460,99.9,"$44,765,617,639 "
Seychelles,Africa,98347,0.56,460,213.8,"$1,515,780,375 "
Sierra Leone,Africa,7976983,0.43,72180,110.52,"$3,739,206,570 "
Singapore,Asia,5850342,1,700,8357.63,"$326,461,147,861 "
Slovenia,Europe,2078938,0.55,20140,103.22,"$51,017,516,728 "
Solomon Islands,Oceania,686884,0.23,27990,24.54,"$1,547,663,121 "
South Africa,Africa,59308690,0.67,1213090,48.89,"$332,317,844,015 "
South Korea,Asia,51269185,0.82,97230,527.3,"$1,689,209,625,243 "
South Sudan,Africa,11193725,0.25,610952,18.32,$0 
Spain,Europe,46754778,0.8,498800,93.73,"$1,373,591,030,508 "
Sri Lanka,Asia,21413249,0.18,62710,341.46,"$87,645,668,544 "
Sudan,Africa,43849260,0.35,1765048,24.84,"$40,947,129,309 "
Suriname,South America,586632,0.65,156000,3.76,"$3,002,704,203 "
Sweden,Europe,10099265,0.88,410340,24.61,"$565,518,361,296 "
Switzerland,Europe,8654622,0.74,39516,219.02,"$712,902,988,292 "
Tajikistan,Asia,9537645,0.27,139960,68.15,"$9,113,168,847 "
Tanzania,Africa,59734218,0.37,885800,67.44,"$55,700,775,928 "
Thailand,Asia,69799978,0.51,510890,136.62,"$458,308,790,248 "
Timor-Leste,Asia,1318445,0.33,14870,88.66,"$2,282,037,272 "
Togo,Africa,8278724,0.43,54390,152.21,"$5,190,120,542 "
Tonga,Oceania,105695,0.24,720,146.8,"$495,582,162 "
Tunisia,Africa,11818619,0.7,155360,76.07,"$40,477,813,889 "
Turkey,Europe,84339067,0.76,769630,109.58,"$865,625,433,398 "
Turkmenistan,Asia,6031200,0.53,469930,12.83,"$39,438,266,895 "
Turks and Caicos,North America,38717,0.89,950,40.75,"$1,067,594,103 "
Tuvalu,Oceania,11792,0.62,30,393.07,"$62,533,242 "
Uganda,Africa,45741007,0.26,199810,228.92,"$32,022,992,630 "
Ukraine,Europe,43733762,0.69,579320,75.49,"$118,220,624,826 "
United Arab Emirates,Asia,9890402,0.86,83600,118.31,"$399,411,711,540 "
United Kingdom,Europe,67886011,0.83,241930,280.6,"$2,776,344,283,067 "
United States,North America,331002651,0.83,9147420,36.19,"$20,637,489,438,263 "
Uruguay,South America,3473730,0.96,175020,19.85,"$54,892,516,413 "
Uzbekistan,Asia,33469203,0.5,425400,78.68,"$66,549,292,739 "
Vanuatu,Oceania,307145,0.24,12190,25.2,"$912,970,432 "
Venezuela,South America,28435940,0.88,882050,32.24,$0 
Vietnam,Asia,97338579,0.38,310070,313.92,"$227,810,613,290 "
Yemen,Asia,29825964,0.38,527970,56.49,"$26,739,570,514 "
Zambia,Africa,18383955,0.45,743390,24.73,"$25,032,009,839 "
Zimbabwe,Africa,14862924,0.38,386850,38.42,"$22,045,163,232 "
